16. HORTALEZA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;HORTALEZA;;Palomas;;Piovera;;Canillas;;Pinar del Rey;;Apóstol Santiago;;Valdefuentes;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;
Superficie (Ha.) ;;60.445,52;2.741,98;;112,98;;313,96;;252,25;;266,48;;120,51;;1675,8;;;;;;;;;
Personas con obesidad HOMBRES ;13,3%;;;;;;;;;;;;;;;;;;;;;;;
Personas con obesidad MUJERES;11,2%;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso;33,5%;;35,4%;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso HOMBRES;41,1%;;;;;;;;;;;;;;;;;;;;;;;
Personas con sobrepeso MUJERES;27,0%;;;;;;;;;;;;;;;;;;;;;;;
Personas mayores de 65 años con alguna dependencia funcional;32,4%;;48,2%;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional HOMBRES ;39,1%;;;;;;;;;;;;;;;;;;;;;;;
Alguna dependencia funcional MUJERES;48,6%;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12);21,1%;;20,0%;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad mental (GHQ-12) HOMBRES;16,6%;;;;;;;;;;;;;;;;;;;;;;;
Probabilidad de padecer enfermedad (GHQ-12) MUJERES;24,9%;;;;;;;;;;;;;;;;;;;;;;;
Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM);15,8%;;11,5%;;;;;;;;;;;;;;;;;;;;;
1.6.3. Discapacidad reconocida (31/12/2018);;;;;;;;;;;;;;;;;;;;;;;;
Nº de personas con grado de discapacidad reconocido;6,1%;200.604;4,5%;9.114;;;;;;;;;;;;;;;;;;;;
Hombres;48,0%;96.322;50,3%;4.588;;;;;;;;;;;;;;;;;;;;
Mujeres;52,0%;104.282;49,7%;4.526;;;;;;;;;;;;;;;;;;;;
Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);;108,3;;98,65;;;;;;;;;;;;;;;;;;;;
1.7. CALIDAD DE VIDA  (2019.  Encuesta, más de 16 años);;;;;;;;;;;;;;;;;;;;;;;;
1.7.1. Calidad de vida y agenda pública (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;
Satisfacción de vivir en su barrio ;;72,0;;75,2;;;;;;;;;;;;;;;;;;;;
Calidad de vida actual en su barrio ;;71,3;;75,7;;;;;;;;;;;;;;;;;;;;
Convivencia vecinal;;69,5;;71,9;;;;;;;;;;;;;;;;;;;;
1.7.2. Satisfacción con los servicios públicos (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;
Espacios verdes;;6,9;;6,9;;;;;;;;;;;;;;;;;;;;
Parques infantiles ;;6,4;;6,5;;;;;;;;;;;;;;;;;;;;
Centros culturales;;7,0;;6,9;;;;;;;;;;;;;;;;;;;;
Organización de fiestas y eventos populares;;6,7;;6,5;;;;;;;;;;;;;;;;;;;;
Instalaciones deportivas;;6,7;;6,8;;;;;;;;;;;;;;;;;;;;
Servicios sociales municipales;;6,5;;6,5;;;;;;;;;;;;;;;;;;;;
Desigualdad en las dotaciones de los barrios (% respuesta muy alta + alta);78,4%;;79,3%;;;;;;;;;;;;;;;;;;;;;
1.7.3. Principales problemas de la ciudadanía (% personas encuestadas);;;;;;;;;;;;;;;;;;;;;;;;
1º. Limpieza;29,1%;;30,2%;;;;;;;;;;;;;;;;;;;;;
2º. Contaminación del aire;18,7%;;20,0%;;;;;;;;;;;;;;;;;;;;;
3º. Tráfico / atascos;11,8%;;19,0%;;;;;;;;;;;;;;;;;;;;;
1.7.4. Percepción de seguridad (indicador sintético 0-100);;;;;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en Madrid;;67,6;;66,4;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por el día;;76,0;;76,4;;;;;;;;;;;;;;;;;;;;
Percepción de seguridad en el barrio por la noche;;60,2;;60,9;;;;;;;;;;;;;;;;;;;;
1.7.5. Problemas que afectan a la seguridad en los espacios públicos del distrito (escala 0-10);;;;;;;;;;;;;;;;;;;;;;;;
1º Excrementos animales domésticos;;6,6;;6,0;;;;;;;;;;;;;;;;;;;;
2º Estacionamientos indebidos;;4,0;;3,6;;;;;;;;;;;;;;;;;;;;
3º Grafitis;;4,1;;3,4;;;;;;;;;;;;;;;;;;;;
1.7.6. Administración de la ciudad de Madrid (% de respuesta);;;;;;;;;;;;;;;;;;;;;;;;
Medio de información de la actividad del Ayuntamiento: REDES SOCIALES;20,9%;;20,9%;;;;;;;;;;;;;;;;;;;;;
Preferencia de contacto con el Ayuntamiento: EN PERSONA;46,0%;;32,9%;;;;;;;;;;;;;;;;;;;;;
