07. CHAMBERÍ. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CHAMBERÍ;;Gaztambide;;Arapiles;;Trafalgar;;Almagro;;Ríos Rosas;;Vallehermoso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.2. Escolarización de alumnos por tipo de centro (año escolar 2017/18);100,0%;519.294;100%;21.354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;43,1%;223.703;51,3%;10.953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;17,9%;92.853;23,4%;5.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,0%;202.738;25,3%;5.397;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;10,6%;54.812;10,4%;2.212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,9%;19.103;49,0%;1.084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,1%;4.965;20,0%;443;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,1%;30.744;31,0%;685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,0%;20.898;2,8%;607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;49,2%;10.285;55,4%;336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,6%;963;2,5%;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;46,2%;9.650;42,2%;256;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2019);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,9%;123.025;1,7%;1.879;1,8%;347;2,0%;401;1,8%;366;1,3%;206;1,7%;387;1,1%;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Primaria incompleta;11,6%;291.746;5,4%;6.199;5,9%;1.106;6,5%;1.296;6,1%;1.238;4,4%;695;5,4%;1.196;4,1%;668;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;666.553;15,0%;17.117;15,4%;2.916;16,4%;3.281;15,2%;3.117;14,7%;2.329;15,4%;3.434;12,5%;2.040;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,1%;482.262;16,9%;19.185;16,9%;3.199;17,4%;3.482;17,0%;3.478;16,2%;2.558;16,5%;3.681;17,1%;2.787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Titulados medios, diplomados, arquitecto o ingeniero técnico;9,5%;240.302;10,4%;11.858;10,4%;1.959;10,1%;2.023;10,3%;2.102;10,6%;1.677;10,1%;2.263;11,3%;1.834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
