09. MONCLOA-ARAVACA. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;MONCLOA-ARAVACA;;Casa de Campo;;Argüelles;;Ciudad Universitaria;;Valdezarza;;Valdemarín;;El Plantío;;Aravaca;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;39,0%;11.604;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;30,7%;9.122;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;6,7%;1.984;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;27,7%;550;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;20,8%;413;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;51,5%;1.021;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;3,7%;1.087;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;58,0%;630;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;24,5%;266;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;17,6%;191;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;2,1%;1.931;2,3%;249;1,4%;277;1,3%;158;3,5%;834;1,0%;44;1,6%;33;1,8%;336;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;6,7%;6.143;7,6%;815;4,6%;916;4,2%;523;11,7%;2.776;3,3%;143;4,1%;85;4,7%;885;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;16,8%;15.463;18,2%;1.947;14,5%;2.871;12,1%;1.520;26,1%;6.203;8,9%;379;11,0%;226;12,4%;2.317;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;17,7%;16.230;19,6%;2.090;16,7%;3.301;15,7%;1.966;20,8%;4.947;12,1%;518;16,6%;341;16,4%;3.067;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;10,4%;9.590;11,2%;1.196;10,3%;2.045;11,1%;1.392;9,5%;2.258;10,1%;432;10,1%;208;11,0%;2.059;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;46,1%;42.296;40,9%;4.367;52,2%;10.325;55,4%;6.952;28,3%;6.748;64,5%;2.759;56,4%;1.158;53,4%;9.987;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,2%;166;0,1%;10;0,2%;46;0,2%;27;0,2%;40;0,0%;2;0,0%;1;0,2%;40;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;91.819;1;10.674;1;19.781;1;12.538;1;23.806;1;4.277;1;2.052;1;18.691;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;1,0%;51;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;56,9%;29;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;43,1%;22;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;22,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo HOMBRES ;25,2%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
