11. CARABANCHEL. INFORMACIÓN DE DISTRITO Y BARRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;CIUDAD;;CARABANCHEL;;Comillas;;Opañel;;San Isidro;;Vista Alegre;;Puerta Bonita;;Buenavista;;Abrantes;;;;;;;;;;;;;;;;;;;
1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;18,4%;97.728;6,4%;2.312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;39,2%;208.595;42,7%;15.393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos extranjeros;11,7%;62.112;17,1%;6.155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;34,0%;21.142;35,3%;2.173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;9,9%;6.167;3,1%;192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;56,0%;34.803;61,6%;3.790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total alumnos con necesidades de apoyo educativo;4,7%;25.160;6,1%;2.205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS CONCERTADOS;44,4%;11.161;37,1%;817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PRIVADOS SIN CONCIERTO;4,3%;1.082;0,5%;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
En centros PÚBLICOS;51,3%;12.917;62,5%;1.378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2021);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No sabe leer ni escribir o sin estudios;4,2%;108.764;5,4%;10.745;4,2%;781;4,5%;1.191;6,8%;2.108;5,2%;1.922;7,2%;1.963;4,3%;1.473;5,6%;1.307;;;;;;;;;;;;;;;;;;
Primaria incompleta;10,5%;270.260;14,5%;28.782;13,2%;2.446;14,0%;3.724;15,9%;4.908;15,7%;5.815;16,1%;4.363;11,5%;3.943;15,3%;3.583;;;;;;;;;;;;;;;;;;
Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado;26,4%;676.508;36,4%;72.067;31,9%;5.909;35,2%;9.381;35,6%;11.012;38,5%;14.256;39,4%;10.688;34,1%;11.678;39,0%;9.143;;;;;;;;;;;;;;;;;;
Formación profesional 2º grado, Bachiller Superior o BUP;19,4%;497.456;20,3%;40.199;21,3%;3.949;20,8%;5.553;18,7%;5.784;20,0%;7.399;19,0%;5.140;22,7%;7.778;19,6%;4.596;;;;;;;;;;;;;;;;;;
Titulaciones medias, diplomatura, arquitectura o ingeniería técnica;9,2%;236.829;7,7%;15.233;8,5%;1.581;7,9%;2.098;7,1%;2.204;7,0%;2.609;5,9%;1.606;10,1%;3.451;7,2%;1.684;;;;;;;;;;;;;;;;;;
Estudios superiores, licenciatura, arquitectura superior, estudios superiores no universitarios, docturado, estudios de posgrado;30,2%;774.430;15,5%;30.736;20,6%;3.815;17,5%;4.674;15,8%;4.893;13,4%;4.982;12,3%;3.328;17,3%;5.949;13,2%;3.095;;;;;;;;;;;;;;;;;;
Nivel de estudios desconocido y no consta;0,1%;2.829;0,1%;265;0,1%;19;0,1%;20;0,2%;56;0,2%;66;0,1%;21;0,1%;24;0,3%;59;;;;;;;;;;;;;;;;;;
1.5.4. Programa de prevención y control del absentismo escolar;;2.567.076;1;198.027;1;18.500;1;26.641;1;30.965;1;37.049;1;27.109;1;34.296;1;23.467;;;;;;;;;;;;;;;;;;
Casos trabajados por el programa de absentismo municipal (curso escolar 2020-2021);100,0%;5.307;14,5%;772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados HOMBRES;52,2%;2.772;48,8%;377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Casos trabajados MUJERES;47,8%;2.535;51,2%;395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6. SALUD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.6.1. Hábitos y estilos de vida (2018. Estudio Madrid Salud);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sedentarismo;30,0%;;31,8%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
